,ticker,year,month,date
332,AMGN,2008,6,2008-06-01
333,AMGN,2008,7,2008-07-01
334,AMGN,2008,8,2008-08-01
335,AMGN,2008,9,2008-09-01
336,AMGN,2008,10,2008-10-01
337,AMGN,2008,11,2008-11-01
338,AMGN,2008,12,2008-12-01
339,AMGN,2009,1,2009-01-01
340,AMGN,2009,2,2009-02-01
341,AMGN,2009,3,2009-03-01
342,AMGN,2009,4,2009-04-01
343,AMGN,2009,5,2009-05-01
344,AMGN,2009,6,2009-06-01
345,AMGN,2009,7,2009-07-01
346,AMGN,2009,8,2009-08-01
347,AMGN,2009,9,2009-09-01
348,AMGN,2009,10,2009-10-01
349,AMGN,2009,11,2009-11-01
350,AMGN,2009,12,2009-12-01
351,AMGN,2010,1,2010-01-01
352,AMGN,2010,2,2010-02-01
353,AMGN,2010,3,2010-03-01
354,AMGN,2010,4,2010-04-01
355,AMGN,2010,5,2010-05-01
356,AMGN,2010,6,2010-06-01
357,AMGN,2010,7,2010-07-01
358,AMGN,2010,8,2010-08-01
359,AMGN,2010,9,2010-09-01
360,AMGN,2010,10,2010-10-01
361,AMGN,2010,11,2010-11-01
362,AMGN,2010,12,2010-12-01
363,AMGN,2011,1,2011-01-01
364,AMGN,2011,2,2011-02-01
365,AMGN,2011,3,2011-03-01
366,AMGN,2011,4,2011-04-01
367,AMGN,2011,5,2011-05-01
368,AMGN,2011,6,2011-06-01
369,AMGN,2011,7,2011-07-01
370,AMGN,2011,8,2011-08-01
371,AMGN,2011,9,2011-09-01
372,AMGN,2011,10,2011-10-01
373,AMGN,2011,11,2011-11-01
374,AMGN,2011,12,2011-12-01
375,AMGN,2012,1,2012-01-01
376,AMGN,2012,2,2012-02-01
377,AMGN,2012,3,2012-03-01
378,AMGN,2012,4,2012-04-01
379,AMGN,2012,5,2012-05-01
380,AMGN,2012,6,2012-06-01
381,AMGN,2012,7,2012-07-01
382,AMGN,2012,8,2012-08-01
383,AMGN,2012,9,2012-09-01
384,AMGN,2012,10,2012-10-01
385,AMGN,2012,11,2012-11-01
386,AMGN,2012,12,2012-12-01
387,AMGN,2013,1,2013-01-01
388,AMGN,2013,2,2013-02-01
389,AMGN,2013,3,2013-03-01
390,AMGN,2013,4,2013-04-01
391,AMGN,2013,5,2013-05-01
392,AMGN,2013,6,2013-06-01
393,AMGN,2013,7,2013-07-01
394,AMGN,2013,8,2013-08-01
395,AMGN,2013,9,2013-09-01
396,AMGN,2013,10,2013-10-01
397,AMGN,2013,11,2013-11-01
398,AMGN,2013,12,2013-12-01
399,AMGN,2014,1,2014-01-01
400,AMGN,2014,2,2014-02-01
401,AMGN,2014,3,2014-03-01
402,AMGN,2014,4,2014-04-01
403,AMGN,2014,5,2014-05-01
404,AMGN,2014,6,2014-06-01
405,AMGN,2014,7,2014-07-01
406,AMGN,2014,8,2014-08-01
407,AMGN,2014,9,2014-09-01
408,AMGN,2014,10,2014-10-01
409,AMGN,2014,11,2014-11-01
410,AMGN,2014,12,2014-12-01
411,AMGN,2015,1,2015-01-01
412,AMGN,2015,2,2015-02-01
413,AMGN,2015,3,2015-03-01
414,AMGN,2015,4,2015-04-01
415,AMGN,2015,5,2015-05-01
416,AMGN,2015,6,2015-06-01
417,AMGN,2015,7,2015-07-01
418,AMGN,2015,8,2015-08-01
419,AMGN,2015,9,2015-09-01
420,AMGN,2015,10,2015-10-01
421,AMGN,2015,11,2015-11-01
422,AMGN,2015,12,2015-12-01
423,AMGN,2016,1,2016-01-01
424,AMGN,2016,2,2016-02-01
425,AMGN,2016,3,2016-03-01
426,AMGN,2016,4,2016-04-01
427,AMGN,2016,5,2016-05-01
428,AMGN,2016,6,2016-06-01
429,AMGN,2016,7,2016-07-01
430,AMGN,2016,8,2016-08-01
431,AMGN,2016,9,2016-09-01
432,AMGN,2016,10,2016-10-01
433,AMGN,2016,11,2016-11-01
434,AMGN,2016,12,2016-12-01
435,AMGN,2017,1,2017-01-01
436,AMGN,2017,2,2017-02-01
437,AMGN,2017,3,2017-03-01
438,AMGN,2017,4,2017-04-01
439,AMGN,2017,5,2017-05-01
440,AMGN,2017,6,2017-06-01
441,AMGN,2017,7,2017-07-01
442,AMGN,2017,8,2017-08-01
443,AMGN,2017,9,2017-09-01
444,AMGN,2017,10,2017-10-01
445,AMGN,2017,11,2017-11-01
446,AMGN,2017,12,2017-12-01
447,AMGN,2018,1,2018-01-01
448,AMGN,2018,2,2018-02-01
449,AMGN,2018,3,2018-03-01
450,AMGN,2018,4,2018-04-01
451,AMGN,2018,5,2018-05-01
452,AMGN,2018,6,2018-06-01
453,AMGN,2018,7,2018-07-01
454,AMGN,2018,8,2018-08-01
455,AMGN,2018,9,2018-09-01
456,AMGN,2018,10,2018-10-01
457,AMGN,2018,11,2018-11-01
458,AMGN,2018,12,2018-12-01
459,AMGN,2019,1,2019-01-01
460,AMGN,2019,2,2019-02-01
461,AMGN,2019,3,2019-03-01
462,AMGN,2019,4,2019-04-01
463,AMGN,2019,5,2019-05-01
464,AMGN,2019,6,2019-06-01
465,AMGN,2019,7,2019-07-01
466,AMGN,2019,8,2019-08-01
467,AMGN,2019,9,2019-09-01
468,AMGN,2019,10,2019-10-01
469,AMGN,2019,11,2019-11-01
470,BIIB,2000,5,2000-05-01
471,BIIB,2000,6,2000-06-01
472,BIIB,2000,7,2000-07-01
473,BIIB,2000,8,2000-08-01
474,BIIB,2000,9,2000-09-01
475,BIIB,2000,10,2000-10-01
476,BIIB,2000,11,2000-11-01
477,BIIB,2000,12,2000-12-01
478,BIIB,2001,1,2001-01-01
479,BIIB,2001,2,2001-02-01
480,BIIB,2001,3,2001-03-01
481,BIIB,2001,4,2001-04-01
482,BIIB,2001,5,2001-05-01
483,BIIB,2001,6,2001-06-01
484,BIIB,2001,7,2001-07-01
485,BIIB,2001,8,2001-08-01
486,BIIB,2001,9,2001-09-01
487,BIIB,2001,10,2001-10-01
488,BIIB,2001,11,2001-11-01
489,BIIB,2001,12,2001-12-01
490,BIIB,2002,1,2002-01-01
491,BIIB,2002,2,2002-02-01
492,BIIB,2002,3,2002-03-01
493,BIIB,2002,4,2002-04-01
494,BIIB,2002,5,2002-05-01
495,BIIB,2002,6,2002-06-01
496,BIIB,2002,7,2002-07-01
497,BIIB,2002,8,2002-08-01
498,BIIB,2002,9,2002-09-01
499,BIIB,2002,10,2002-10-01
500,BIIB,2002,11,2002-11-01
501,BIIB,2002,12,2002-12-01
502,BIIB,2003,1,2003-01-01
503,BIIB,2003,2,2003-02-01
504,BIIB,2003,3,2003-03-01
505,BIIB,2003,4,2003-04-01
506,BIIB,2003,5,2003-05-01
507,BIIB,2003,6,2003-06-01
508,BIIB,2003,7,2003-07-01
509,BIIB,2003,8,2003-08-01
510,BIIB,2003,9,2003-09-01
511,BIIB,2003,10,2003-10-01
512,BIIB,2003,11,2003-11-01
513,BIIB,2003,12,2003-12-01
514,BIIB,2004,1,2004-01-01
515,BIIB,2004,2,2004-02-01
516,BIIB,2004,3,2004-03-01
517,BIIB,2004,4,2004-04-01
518,BIIB,2004,5,2004-05-01
519,BIIB,2004,6,2004-06-01
520,BIIB,2004,7,2004-07-01
521,BIIB,2004,8,2004-08-01
522,BIIB,2004,9,2004-09-01
523,BIIB,2004,10,2004-10-01
524,BIIB,2004,11,2004-11-01
525,BIIB,2004,12,2004-12-01
526,BIIB,2005,1,2005-01-01
527,BIIB,2005,2,2005-02-01
528,BIIB,2005,3,2005-03-01
529,BIIB,2005,4,2005-04-01
530,BIIB,2005,5,2005-05-01
531,BIIB,2005,6,2005-06-01
532,BIIB,2005,7,2005-07-01
533,BIIB,2005,8,2005-08-01
534,BIIB,2005,9,2005-09-01
535,BIIB,2005,10,2005-10-01
536,BIIB,2005,11,2005-11-01
537,BIIB,2005,12,2005-12-01
538,BIIB,2006,1,2006-01-01
539,BIIB,2006,2,2006-02-01
540,BIIB,2006,3,2006-03-01
541,BIIB,2006,4,2006-04-01
542,BIIB,2006,5,2006-05-01
543,BIIB,2006,6,2006-06-01
544,BIIB,2006,7,2006-07-01
545,BIIB,2006,8,2006-08-01
546,BIIB,2006,9,2006-09-01
547,BIIB,2006,10,2006-10-01
548,BIIB,2006,11,2006-11-01
549,BIIB,2006,12,2006-12-01
550,BIIB,2007,1,2007-01-01
551,BIIB,2007,2,2007-02-01
552,BIIB,2007,3,2007-03-01
553,BIIB,2007,4,2007-04-01
554,BIIB,2007,5,2007-05-01
555,BIIB,2007,6,2007-06-01
556,BIIB,2007,7,2007-07-01
557,BIIB,2007,8,2007-08-01
558,BIIB,2007,9,2007-09-01
559,BIIB,2007,10,2007-10-01
560,BIIB,2007,11,2007-11-01
561,BIIB,2007,12,2007-12-01
562,BIIB,2008,1,2008-01-01
563,BIIB,2008,2,2008-02-01
564,BIIB,2008,3,2008-03-01
565,BIIB,2008,4,2008-04-01
566,BIIB,2008,5,2008-05-01
567,BIIB,2008,6,2008-06-01
568,BIIB,2008,7,2008-07-01
569,BIIB,2008,8,2008-08-01
570,BIIB,2008,9,2008-09-01
571,BIIB,2008,10,2008-10-01
572,BIIB,2008,11,2008-11-01
573,BIIB,2008,12,2008-12-01
574,BIIB,2009,1,2009-01-01
575,BIIB,2009,2,2009-02-01
576,BIIB,2009,3,2009-03-01
577,BIIB,2009,4,2009-04-01
578,BIIB,2009,5,2009-05-01
579,BIIB,2009,6,2009-06-01
580,BIIB,2009,7,2009-07-01
581,BIIB,2009,8,2009-08-01
582,BIIB,2009,9,2009-09-01
583,BIIB,2009,10,2009-10-01
584,BIIB,2009,11,2009-11-01
585,BIIB,2009,12,2009-12-01
586,BIIB,2010,1,2010-01-01
587,BIIB,2010,2,2010-02-01
588,BIIB,2010,3,2010-03-01
589,BIIB,2010,4,2010-04-01
590,BIIB,2010,5,2010-05-01
591,BIIB,2010,6,2010-06-01
592,BIIB,2010,7,2010-07-01
593,BIIB,2010,8,2010-08-01
594,BIIB,2010,9,2010-09-01
595,BIIB,2010,10,2010-10-01
596,BIIB,2010,11,2010-11-01
597,BIIB,2010,12,2010-12-01
598,BIIB,2011,1,2011-01-01
599,BIIB,2011,2,2011-02-01
600,BIIB,2011,3,2011-03-01
601,BIIB,2011,4,2011-04-01
602,BIIB,2011,5,2011-05-01
603,BIIB,2011,6,2011-06-01
604,BIIB,2011,7,2011-07-01
605,BIIB,2011,8,2011-08-01
606,BIIB,2011,9,2011-09-01
607,BIIB,2011,10,2011-10-01
608,BIIB,2011,11,2011-11-01
609,BIIB,2011,12,2011-12-01
610,BIIB,2012,1,2012-01-01
611,BIIB,2012,2,2012-02-01
612,BIIB,2012,3,2012-03-01
613,BIIB,2012,4,2012-04-01
614,BIIB,2012,5,2012-05-01
615,BIIB,2012,6,2012-06-01
616,BIIB,2012,7,2012-07-01
617,BIIB,2012,8,2012-08-01
618,BIIB,2012,9,2012-09-01
619,BIIB,2012,10,2012-10-01
620,BIIB,2012,11,2012-11-01
621,BIIB,2012,12,2012-12-01
622,BIIB,2013,1,2013-01-01
623,BIIB,2013,2,2013-02-01
624,BIIB,2013,3,2013-03-01
625,BIIB,2013,4,2013-04-01
626,BIIB,2013,5,2013-05-01
627,BIIB,2013,6,2013-06-01
628,BIIB,2013,7,2013-07-01
629,BIIB,2013,8,2013-08-01
630,BIIB,2013,9,2013-09-01
631,BIIB,2013,10,2013-10-01
632,BIIB,2013,11,2013-11-01
633,BIIB,2013,12,2013-12-01
634,BIIB,2014,1,2014-01-01
635,BIIB,2014,2,2014-02-01
636,BIIB,2014,3,2014-03-01
637,BIIB,2014,4,2014-04-01
638,BIIB,2014,5,2014-05-01
639,BIIB,2014,6,2014-06-01
640,BIIB,2014,7,2014-07-01
641,BIIB,2014,8,2014-08-01
642,BIIB,2014,9,2014-09-01
643,BIIB,2014,10,2014-10-01
644,BIIB,2014,11,2014-11-01
645,BIIB,2014,12,2014-12-01
646,BIIB,2015,1,2015-01-01
647,BIIB,2015,2,2015-02-01
648,BIIB,2015,3,2015-03-01
649,BIIB,2015,4,2015-04-01
650,BIIB,2015,5,2015-05-01
651,BIIB,2015,6,2015-06-01
652,BIIB,2015,7,2015-07-01
653,BIIB,2015,8,2015-08-01
654,BIIB,2015,9,2015-09-01
655,BIIB,2015,10,2015-10-01
656,BIIB,2015,11,2015-11-01
657,BIIB,2015,12,2015-12-01
658,BIIB,2016,1,2016-01-01
659,BIIB,2016,2,2016-02-01
660,BIIB,2016,3,2016-03-01
661,BIIB,2016,4,2016-04-01
662,BIIB,2016,5,2016-05-01
663,BIIB,2016,6,2016-06-01
664,BIIB,2016,7,2016-07-01
665,BIIB,2016,8,2016-08-01
666,BIIB,2016,9,2016-09-01
667,BIIB,2016,10,2016-10-01
668,BIIB,2016,11,2016-11-01
669,BIIB,2016,12,2016-12-01
670,BIIB,2017,1,2017-01-01
671,BIIB,2017,2,2017-02-01
672,BIIB,2017,3,2017-03-01
673,BIIB,2017,4,2017-04-01
674,BIIB,2017,5,2017-05-01
675,BIIB,2017,6,2017-06-01
676,BIIB,2017,7,2017-07-01
677,BIIB,2017,8,2017-08-01
678,BIIB,2017,9,2017-09-01
679,BIIB,2017,10,2017-10-01
680,BIIB,2017,11,2017-11-01
681,BIIB,2017,12,2017-12-01
682,BIIB,2018,1,2018-01-01
683,BIIB,2018,2,2018-02-01
684,BIIB,2018,3,2018-03-01
685,BIIB,2018,4,2018-04-01
686,BIIB,2018,5,2018-05-01
687,BIIB,2018,6,2018-06-01
688,BIIB,2018,7,2018-07-01
689,BIIB,2018,8,2018-08-01
690,BIIB,2018,9,2018-09-01
691,BIIB,2018,10,2018-10-01
692,BIIB,2018,11,2018-11-01
693,BIIB,2018,12,2018-12-01
694,BIIB,2019,1,2019-01-01
695,BIIB,2019,2,2019-02-01
696,BIIB,2019,3,2019-03-01
697,BIIB,2019,4,2019-04-01
698,BIIB,2019,5,2019-05-01
699,BIIB,2019,6,2019-06-01
700,BIIB,2019,7,2019-07-01
701,BIIB,2019,8,2019-08-01
702,BIIB,2019,9,2019-09-01
703,BIIB,2019,10,2019-10-01
704,BIIB,2019,11,2019-11-01
705,GILD,2000,5,2000-05-01
706,GILD,2000,6,2000-06-01
707,GILD,2000,7,2000-07-01
708,GILD,2000,8,2000-08-01
709,GILD,2000,9,2000-09-01
710,GILD,2000,10,2000-10-01
711,GILD,2000,11,2000-11-01
712,GILD,2000,12,2000-12-01
713,GILD,2001,1,2001-01-01
714,GILD,2001,2,2001-02-01
715,GILD,2001,3,2001-03-01
716,GILD,2001,4,2001-04-01
717,GILD,2001,5,2001-05-01
718,GILD,2001,6,2001-06-01
719,GILD,2001,7,2001-07-01
720,GILD,2001,8,2001-08-01
721,GILD,2001,9,2001-09-01
722,GILD,2001,10,2001-10-01
723,GILD,2001,11,2001-11-01
724,GILD,2001,12,2001-12-01
725,GILD,2002,1,2002-01-01
726,GILD,2002,2,2002-02-01
727,GILD,2002,3,2002-03-01
728,GILD,2002,4,2002-04-01
729,GILD,2002,5,2002-05-01
730,GILD,2002,6,2002-06-01
731,GILD,2002,7,2002-07-01
732,GILD,2002,8,2002-08-01
733,GILD,2002,9,2002-09-01
734,GILD,2002,10,2002-10-01
735,GILD,2002,11,2002-11-01
736,GILD,2002,12,2002-12-01
